semi skimmed milk,9744
dairy,223853
milk,153178
sugar,350447
added sugar,397133
disaccharide,359007
lactic ferments,44341
ferment,56378
microbial culture,49041
vitamins,35035
vitamin d,19822
l leucine,121
l isoleucine,192
l valine,188
shiitake,1564
mushroom,9829
extract,1755
natural artificial flavouring,30990
flavouring,284351
natural flavouring,186100
artificial flavouring,50409
soluble corn fiber,1257
cereal,218605
corn,45577
corn fiber,1436
fruit,167807
antioxidant,47762
colour,97288
tomato,61505
vegetable,224766
mayonnaise,2553
sauce,22390
colza oil,27124
oil fat,285063
vegetable oil fat,264698
rapeseed oil,68286
water,295594
egg yolk,18480
egg,91593
vinegar,71072
mustard,23421
condiment,148978
spice,155704
salt,418337
dextrose,74373
monosaccharide,151007
glucose,140811
stabiliser,40554
preservative,89690
mustard seed,13581
turmeric,21619
corn starch,82339
starch,165924
cocoa,86569
yeast,80410
gluten,29890
deactivated yeast,1101
wheat flour,149244
flour,178563
wheat,172609
cereal flour,144226
pasteurised milk,25767
coagulant,1588
rye flour,4808
sugar syrup,11043
wheat gluten,20481
sourdough,3714
dough,13740
raising agent,43291
fructose,48167
flour treatment agent,10584
enzyme,53827
filling,6764
salad,4696
mg,212
rye,4024
atlantic salmon,1994
fish,21203
oily fish,9435
salmon,4062
mint,4585
herb,78237
lemon juice,35958
fruit juice,68113
banana,6873
vegetable oil,185590
natural banana flavouring,247
coconut oil,19775
corn oil,5791
palm oil,55398
palm oil fat,64210
peanut,19451
nut,67654
rice flour,25646
rice,48771
tapioca,18124
soy sauce,9643
potato starch,27836
soya bean,33266
legume,60314
soya,49851
eu,101
basil,14617
olive oil,30133
wholemeal flour,14512
corn flour,14506
durum wheat semolina,15102
durum wheat,16609
semolina,18783
flax seed,7234
seed,87172
flax,8072
sesame seeds,8542
sesame,14615
echine porc,112
animal,50785
meat,32913
pork,36575
pork meat,24457
corn dextrose,1179
fennel,2544
root vegetable,179643
malted wheat flour,3684
acid,49445
modified tapioca starch,4046
modified starch,77724
bone,938
chicken fillet,1759
poultry,26648
chicken,18671
chicken meat,9770
hazelnut,14605
tree nut,51761
cashew nuts,8646
sunflower oil,71921
sea salt,58144
oat flakes,12238
oat,26593
grape,21025
canola oil,29295
sunflower seed,7981
plant,74198
sunflower,18625
almond,27881
natural vitamin e,376
long grain white rice,278
long grain rice,2438
white rice,1086
evaporated cane juice,1659
hemp seed,731
cocoa paste,42206
unrefined cane sugar,6148
cane sugar,40376
unrefined sugar,6632
cocoa butter,54168
ground vanilla beans,427
